Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
Monday after Pentecost 6,09/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Pentecost 6,10/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Benedict of Nursia, Abbot, c.550 [6] White",11/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Drostan of Deer, Abbot, c.600 [6] White",12/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 6,13/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 6,14/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 7 [3] Green; SPB Trinity 6,15/07/2012,,,,TRUE,FALSE,"Pentecost 7 [3] Green; SPB Trinity 6 | Week of Proper 15

Eucharist: Continuous
2 Samuel 6:1-5, 12b-19
Psalm 24
Ephesians 1:3-14
Mark 6:14-29

Eucharist: Thematic
Amos 7:7-15
Psalm 85:8-13
Ephesians 1:3-14
Mark 6:14-29

Daily Prayer: Week D
Job 4:1; 5:6-27 or Sirach 4:11-31
Acts 28:17-30
Luke 10:25-37

Alternative Psalms
Morning: 60
Evening: 66",Normal,Normal,3
Monday after Pentecost 7,16/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Pentecost 7,17/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Pentecost 7,18/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Pentecost 7,19/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 7,20/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
"William Wilberforce, 1833 [6] White",21/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 8 [3] Green; SPB Trinity 7,22/07/2012,,,,TRUE,FALSE,"Pentecost 8 [3] Green; SPB Trinity 7 | Week of Proper 16

Eucharist: Continuous
2 Samuel 7:1-14a
Psalm 89:20-37
Ephesians 2:11-22
Mark 6:30-34, 53-56

Eucharist: Thematic
Jeremiah 23:1-6
Psalm 23
Ephesians 2:11-22
Mark 6:30-34, 53-56

Daily Prayer: Week A
Job 13:13 - 14:6 or Sirach 18:1-14
Hebrews 2:5-18
Luke 10:38-42

Alternative Psalms
Morning: 67
Evening: 73",Normal,Normal,3
Mary Magdalene [4] White (translated from 22 July),23/07/2012,,,,TRUE,FALSE,"Mary Magdalene [4] White

DAILY EUCHARIST
Judith 9:1, 11-14 or Song of Solomon 3:1-4
Psalm 42:1-7
2 Corinthians 5:14-17
John 20:1-2, 11-18

MORNING PRAYER: Festivals
Zephaniah 3:14-20
Mark 15:27 - 16:7

EVENING PRAYER: Festivals
Exodus 15:19-21
2 Corinthians 1:3-7",Normal,Normal,3
Tuesday after Pentecost 8,24/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
"James, Apostle [4] Red",25/07/2012,,,,TRUE,FALSE,"James, Apostle [4] Red

DAILY EUCHARIST
Jeremiah 45:1-5
Psalm 7:1-10 or Psalm 126
Acts 11:27 - 12:2, (3)
Matthew 20:20-28

MORNING PRAYER: Festivals
Jeremiah 16:14-21
Mark 1:14-20

EVENING PRAYER: Festivals
Jeremiah 26:1-15
Matthew 10:16-32",Normal,Normal,3
"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White",26/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 8,27/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 8,28/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 9 [3] Green; SPB Trinity 8,29/07/2012,,,,TRUE,FALSE,"Pentecost 9 [3] Green; SPB Trinity 8 | Week of Proper 17

Eucharist: Continuous
2 Samuel 11:1-15
Psalm 14
Ephesians 3:14-21
John 6:1-21

Eucharist: Thematic
2 Kings 4:42-44
Psalm 145:10-18
Ephesians 3:14-21
John 6:1-21

Daily Prayer: Week B
Job 19:1-27a or Sirach 38:24-34
Hebrews 8:1-13
Luke 11:1-13

Alternative Psalms
Morning: 75
Evening: 74",Normal,Normal,3
"Silas, Companion of Saint Paul [6] White",30/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Ignatius Loyola, Priest and Religious, 1556 [6] White",31/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Martha and Mary of Bethany [6] White (translated from 29 July),01/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Pentecost 9,02/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 9,03/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 9,04/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 10 [3] Green; SPB Trinity 9,05/08/2012,,,,TRUE,FALSE,"Pentecost 10 [3] Green; SPB Trinity 9 | Week of Proper 18

Eucharist: Continuous
2 Samuel 11:26 - 12:13a
Psalm 51:1-12
Ephesians 4:1-16
John 6:24-35

Eucharist: Thematic
Exodus 16:2-4, 9-15
Psalm 78:23-29
Ephesians 4:1-16
John 6:24-35

Daily Prayer: Week C
Job 28:(1-11), 12-28 or Sirach 42:15-25

Alternative Psalms
Morning: 80
Evening: 88

Evening Prayer for eve of THE TRANSFIGURATION OF THE LORD (6 Aug) [2]: Festivals
1 Kings 19:1-12
2 Corinthians 4:1-6""
",Normal,Normal,3
THE TRANSFIGURATION OF THE LORD [2] White,06/08/2012,,,,TRUE,FALSE,"THE TRANSFIGURATION OF THE LORD [2] White

Eucharist
Daniel 7:9-10, 13-14
Psalm 97 or 99
2 Peter 1:16-19
Luke 9:28-36

Morning Prayer: Festivals
Exodus 24:12-18
2 Corinthians 4:1-6

Evening Prayer: Festivals
Daniel 7:9-10, 13-14 or Exodus 3:1-15
John 12:27-36a",Normal,Normal,3
"Boisil, Prior of Melrose, c.642 [6] White",07/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Dominic, Priest and Friar, 1221 [6] White",08/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
"John Mason Neale, Priest, 1886 [6] White",09/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Lawrence, Deacon and Martyr, 258 [6] Red",10/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Clare of Assisi, Religious, 1253 [6] White",11/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 11 [3] Green; SPB Trinity 10,12/08/2012,,,,TRUE,FALSE,"Pentecost 11 [3] Green; SPB Trinity 10 | Week of Proper 19

Eucharist: Continuous
2 Samuel 18:5-9, 15, 31-33
Psalm 130
Ephesians 4:25 - 5:2
John 6:35, 41-51

Eucharist: Thematic
1 Kings 19:4-8
Psalm 34:1-8
Ephesians 4:25 - 5:2
John 6:35, 41-51

Daily Prayer: Week D
Job 39:1 - 40:4 or Sirach 43:13-33

Alternative Psalms
Morning: 86
Evening: 91",Normal,Normal,3
"Jeremy Taylor, Bishop, 1667 [6] White",13/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Maximilien Kolbe, Priest and Martyr, 1941 [6] Red",14/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Mary the Virgin [4] White,15/08/2012,,,,TRUE,FALSE,"Mary the Virgin [4] White

DAILY EUCHARIST
Isaiah 7:10-15 or Revelation 11:19 - 12:6, 10
Psalm 132:6-10, 13-14 or Psalm 45:10-17
Galatians 4:4-7
Luke 1:46-55 or Luke 2:1-7

MORNING PRAYER: Festivals
1 Samuel 2:1-10
John 2:1-12

EVENING PRAYER: Festivals
Jeremiah 31:1-14 or Zechariah 2:10-13
John 19:23-27 or Acts 1:6-14",Normal,Normal,3
"Blane, Missionary, c.590 [6] White (translated from 12 August)",16/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 11,17/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 11,18/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 12 [3] Green; SPB Trinity 11,19/08/2012,,,,TRUE,FALSE,"Pentecost 12 [3] Green; SPB Trinity 11 | Week of Proper 20

Eucharist: Continuous
1 Kings 2:10-12, 3:3-14
Psalm 111
Ephesians 5:15-20
John 6:51-58

Eucharist: Thematic
Proverbs 9:1-6
Psalm 34:9-14
Ephesians 5:15-20
John 6:51-58

Daily Prayer: Week A
Exodus 2:23 - 3:10
Hebrews 13:1-15
Luke 12:49-56

Alternative Psalms
Morning: 90
Evening: 92",Normal,Normal,3
"Bernard of Clairvaux, Aboot & Teacher of the Faith, 1153 [6] White",20/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Pentecost 12,21/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Pentecost 12,22/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Pentecost 12,23/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Bartholomew, Apostle [4] Red",24/08/2012,,,,TRUE,FALSE,"Bartholomew, Apostle [4] Red

DAILY EUCHARIST
Deuteronomy 18:15-18 or Isaiah 43:8-13
Psalm 91 or Psalm 145:1-7
1 Corinthians 4:9-15
Luke 22:24-30

MORNING PRAYER: Festivals
Genesis 28:10-17
John 1:43-51

EVENING PRAYER: Festivals
Isaiah 66:1-2, 18-23
1 Peter 5:1-11",Normal,Normal,3
"Ebba of Coldingham, Abbess, 683 [6] White",25/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 13 [3] Green; SPB Trinity 12,26/08/2012,,,,TRUE,FALSE,"Pentecost 13 [3] Green; SPB Trinity 12 | Week of Proper 21

Eucharist: Continuous
1 Kings 8:(1, 6, 10-11), 22-30, 41-43
Psalm 84
Ephesians 6:10-20
John 6:56-69

Eucharist: Thematic
Joshua 24:1-2a, 14-18
Psalm 34:15-22
Ephesians 6:10-20
John 6:56-69

Daily Prayer: Week B
Exodus 4:27 - 5:1
Hebrews 13:16-21
Luke 13:10-17

Alternative Psalms
Morning: 95
Evening: 116",Normal,Normal,3
"Monnica, Mother of Augustine of Hippo, 387 [6] White",27/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Augustine of Hippo, Bishop & Teacher of the Faith, 430 [6] White",28/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
The Beheading of John the Baptist [4] Red,29/08/2012,,,,TRUE,FALSE,"The Beheading of John the Baptist [4] Red

Eucharist
2 Chronicles 24:17-21
Psalm 71:1-6, 15-17
Hebrews 11:32-40
Mark 6:17-29

Morning Prayer: Festivals
Jeremiah 38:1-6
Revelation 7:13-17

Evening Prayer: Festivals
Judges 16:28-30
1 Peter 3:13-18",Normal,Normal,3
Thursday after Pentecost 13,30/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Aidan of Lindisfarne, Bishop, 651 [6] White",31/08/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 13,01/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 14 [3] Green; SPB Trinity 13,02/09/2012,,,,TRUE,FALSE,"Pentecost 14 [3] Green; SPB Trinity 13 | Week of Proper 22

Eucharist: Continuous
Song of Songs 2:8-13
Psalm 45:1-2, 6-9
James 1:17-27
Mark 7:1-8, 14-15, 21-23

Eucharist: Thematic
Deuteronomy 4:1-2, 6-9
Psalm 15
James 1:17-27
Mark 7:1-8, 14-15, 21-23

Daily Prayer: Week C
Exodus 12:21-27
Revelation 3:14-22
Matthew 4:23 - 5:20

Alternative Psalms
Morning: 105:1-15
Evening: 119:(1-8), 9-16",Normal,Normal,3
"Gregory the Great, Bishop and Teacher of the Faith [6] White",03/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
"The Martyrs of New Guinea, 1942 [6] Red (translated from 02 September)",04/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Pentecost 14,05/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Pentecost 14,06/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 14,07/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
"The Birth of Mary, Mother of the Lord [5] White",08/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 15 [3] Green; SPB Trinity 14,09/09/2012,,,,TRUE,FALSE,"Pentecost 15 [3] Green; SPB Trinity 14 | Week of Proper 23

Eucharist: Continuous
Proverbs 22:1-2, 8-9, 22-23
Psalm 125
James 2:1-10, (11-13), 14-17
Mark 7:24-37

Eucharist: Thematic
Isaiah 35:4-7a
Psalm 146
James 2:1-10, (11-13), 14-17
Mark 7:24-37

Daily Prayer: Week D
Exodus 14:5-31
Revelation 8:1-5
Matthew 6:1-18

Alternative Psalms
Morning: 108
Evening: 119:(41-48), 49-56",Normal,Normal,3
Monday after Pentecost 15,10/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Pentecost 15,11/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Pentecost 15,12/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Cyprian of Carthage, Bishop and Martyr, 258 [6] Red",13/09/2012,,,,TRUE,FALSE,,Normal,Normal,3
