Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"Ebba of Coldingham, Abbess, 683 [6] White",25/08/2007,,,,TRUE,,3
Pentecost 13 [3] Green / SPB Trinity 12,26/08/2007,,,,TRUE,,3
"Monnica, Mother of Augustine of Hippo, 387 [6] White",27/08/2007,,,,TRUE,,3
"Augustine of Hippo, Bishop and Teacher of the Faith, 430 [6] White",28/08/2007,,,,TRUE,,3
The Beheading of John the Baptist [4] Red,29/08/2007,,,,TRUE,,3
Thursday of Pentecost 13,30/08/2007,,,,TRUE,,3
"Aidan of Lindisfarne, Bishop, 651 [6] White",31/08/2007,,,,TRUE,,3
Saturday of Pentecost 13,01/09/2007,,,,TRUE,,3
Pentecost 14 [3] Green / SPB Trinity 13,02/09/2007,,,,TRUE,,3
"Gregory the Great, Bishop and Teacher of the Faith [6] White",03/09/2007,,,,TRUE,,3
"The Martyrs of New Guinea, 1942 [6] Red (translated from 2 September)",04/09/2007,,,,TRUE,,3
Wednesday of Pentecost 14,05/09/2007,,,,TRUE,,3
Thursday of Pentecost 14,06/09/2007,,,,TRUE,,3
Friday of Pentecost 14,07/09/2007,,,,TRUE,,3
"The Birth of Mary, Mother of the Lord [5] White",08/09/2007,,,,TRUE,,3
Pentecost 15 [3] Green / SPB Trinity 14,09/09/2007,,,,TRUE,,3
Monday of Pentecost 15,10/09/2007,,,,TRUE,,3
Tuesday of Pentecost 15,11/09/2007,,,,TRUE,,3
Wednesday of Pentecost 15,12/09/2007,,,,TRUE,,3
"Cyprian of Carthage, Bishop and Martyr, 258 [6] Red",13/09/2007,,,,TRUE,,3
Holy Cross Day [5] White or Red,14/09/2007,,,,TRUE,,3
Saturday of Pentecost 15,15/09/2007,,,,TRUE,,3
Pentecost 16 [3] Green / SPB Trinity 15,16/09/2007,,,,TRUE,,3
"Ninian of Whithorn, Bishop, c.430 [4] White (translated from 16 September)",17/09/2007,,,,TRUE,,3
"Hildegard of Bingen, Abbess, 1179 [6] White (translated from 17 September)",18/09/2007,,,,TRUE,,3
Wednesday of Pentecost 16,19/09/2007,,,,TRUE,,3
"John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red",20/09/2007,,,,TRUE,,3
"Matthew, Apostle and Evangelist [4] Red",21/09/2007,,,,TRUE,,3
Saturday of Pentecost 16,22/09/2007,,,,TRUE,,3
Pentecost 17 [3] Green / SPB Trinity 16,23/09/2007,,,,TRUE,,3
"Adamnan of Iona, Abbot, 704 [6] White (translated from 23 September)",24/09/2007,,,,TRUE,,3
"Finnbar of Caithness, Bishop, c.610 [6] White (Ordination of the Bishop of Moray, 1999)",25/09/2007,,,,TRUE,,3
Wednesday of Pentecost 17,26/09/2007,,,,TRUE,,3
"Vincent de Paul, Priest, 1660 [6] White",27/09/2007,,,,TRUE,,3
Friday of Pentecost 17,28/09/2007,,,,TRUE,,3
Michael and All Angels [4] White,29/09/2007,,,,TRUE,,3
Pentecost 18 [3] Green / SPB Trinity 17,30/09/2007,,,,TRUE,,3
"Gregory the Enlightener, Bishop, c.332 [6] White",01/10/2007,,,,TRUE,,3
Tuesday of Pentecost 18,02/10/2007,,,,TRUE,,3
Wednesday of Pentecost 18,03/10/2007,,,,TRUE,,3
"Francis of Assisi, Deacon and Friar, 1226 [6] White",04/10/2007,,,,TRUE,,3
Friday of Pentecost 18,05/10/2007,,,,TRUE,,3
Saturday of Pentecost 18,06/10/2007,,,,TRUE,,3
Pentecost 19 [3] Green / SPB Trinity 18,07/10/2007,,,,TRUE,,3
"Alexander Penrose Forbes, Bishop, 1875 [6] White (Ordination of the Bishop of Brechin, 2005)",08/10/2007,,,,TRUE,,3
Tuesday of Pentecost 19,09/10/2007,,,,TRUE,,3
Wednesday of Pentecost 19,10/10/2007,,,,TRUE,,3
"Kenneth, Abbot, 600 [6] White",11/10/2007,,,,TRUE,,3
"Elizabeth Fry, 1845 [6] White",12/10/2007,,,,TRUE,,3
Saturday of Pentecost 19,13/10/2007,,,,TRUE,,3
Pentecost 20 [3] Green / SPB Trinity 19,14/10/2007,,,,TRUE,,3
"Teresa of Avila, Teacher of the Faith, 1582 [6] White",15/10/2007,,,,TRUE,,3
Tuesday of Pentecost 20,16/10/2007,,,,TRUE,,3
"Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red",17/10/2007,,,,TRUE,,3
"Luke, Evangelist [4] Red",18/10/2007,,,,TRUE,,3
"Henry Martyn, Priest and Missionary, 1812 [6] White",19/10/2007,,,,TRUE,,3
Saturday of Pentecost 20,20/10/2007,,,,TRUE,,3
Pentecost 21 [3] Green / SPB Trinity 20,21/10/2007,,,,TRUE,,3
Monday of Pentecost 21,22/10/2007,,,,TRUE,,3
"James of Jerusalem, Martyr, c.62 [6] Red",23/10/2007,,,,TRUE,,3
Wednesday of Pentecost 21,24/10/2007,,,,TRUE,,3
Thursday of Pentecost 21,25/10/2007,,,,TRUE,,3
Friday of Pentecost 21,26/10/2007,,,,TRUE,,3
Saturday of Pentecost 21,27/10/2007,,,,TRUE,,3
Pentecost 22 [3] Green / SPB Trinity 21 (Fifth Sunday before Advent),28/10/2007,,,,TRUE,,3
"Simon and Jude, Apostles [4] Red (translated from 28 October)",29/10/2007,,,,TRUE,,3
