Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"Gregory the Great, Bishop and Teacher of the Faith [6] White",03/09/2009,,,,TRUE,,3
Friday after Pentecost 13,04/09/2009,,,,TRUE,,3
Saturday after Pentecost 13,05/09/2009,,,,TRUE,,3
Pentecost 14 [3] Green; SPB Trinity 13,06/09/2009,,,,TRUE,,3
Monday after Pentecost 14,07/09/2009,,,,TRUE,,3
"The Birth of Mary, Mother of the Lord [5] White",08/09/2009,,,,TRUE,,3
Wednesday after Pentecost 14,09/09/2009,,,,TRUE,,3
Thursday after Pentecost 14,10/09/2009,,,,TRUE,,3
Friday after Pentecost 14,11/09/2009,,,,TRUE,,3
Saturday after Pentecost 14,12/09/2009,,,,TRUE,,3
Pentecost 15 [3] Green; SPB Trinity 14,13/09/2009,,,,TRUE,,3
Holy Cross Day [5] White or Red,14/09/2009,,,,TRUE,,3
"Cyprian of Carthage, Bishop and Martyr, 258 [6] Red (translated from 13 September)",15/09/2009,,,,TRUE,,3
"Ninian of Whithorn, Bishop, c.430 [4] White",16/09/2009,,,,TRUE,,3
"Hildegard of Bingen, Abbess, 1179 [6] White",17/09/2009,,,,TRUE,,3
Friday after Pentecost 15,18/09/2009,,,,TRUE,,3
Saturday after Pentecost 15,19/09/2009,,,,TRUE,,3
Pentecost 16 [3] Green; SPB Trinity 15,20/09/2009,,,,TRUE,,3
"Matthew, Apostle and Evangelist [4] Red",21/09/2009,,,,TRUE,,3
"John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red (translated from 20 September) (Ordination of the Bishop of Aberdeen, 2007)",22/09/2009,,,,TRUE,,3
"Adamnan of Iona, Abbot, 704 [6] White",23/09/2009,,,,TRUE,,3
Thursday after Pentecost 16,24/09/2009,,,,TRUE,,3
"Finnbar of Caithness, Bishop, c.610 [6] White",25/09/2009,,,,TRUE,,3
Saturday after Pentecost 16,26/09/2009,,,,TRUE,,3
Pentecost 17 [3] Green; SPB Trinity 16,27/09/2009,,,,TRUE,,3
"Vincent de Paul, Priest, 1660 [6] White (translated from 27 September)",28/09/2009,,,,TRUE,,3
Michael and All Angels [4] White,29/09/2009,,,,TRUE,,3
"Jerome, Priest and Teacher of the Faith, 420 [6] White",30/09/2009,,,,TRUE,,3
"Gregory the Enlightener, Bishop, c.332 [6] White",01/10/2009,,,,TRUE,,3
Friday after Pentecost 17,02/10/2009,,,,TRUE,,3
Saturday after Pentecost 17,03/10/2009,,,,TRUE,,3
Pentecost 18 [3] Green; SPB Trinity 17,04/10/2009,,,,TRUE,,3
"Francis of Assisi, Deacon and Friar, 1226 [6] White (translated from 4 October)",05/10/2009,,,,TRUE,,3
Tuesday after Pentecost 18,06/10/2009,,,,TRUE,,3
Wednesday after Pentecost 18,07/10/2009,,,,TRUE,,3
"Alexander Penrose Forbes, Bishop, 1875 [6] White (Ordination of the Bishop of Brechin, 2005)",08/10/2009,,,,TRUE,,3
Friday after Pentecost 18,09/10/2009,,,,TRUE,,3
Saturday after Pentecost 18,10/10/2009,,,,TRUE,,3
Pentecost 19 [3] Green; SPB Trinity 18,11/10/2009,,,,TRUE,,3
"Elizabeth Fry, 1845 [6] White",12/10/2009,,,,TRUE,,3
"Kenneth, Abbot, 600 [6] White (translated from 11 October); (Ordination of the Bishop of Moray, 2007)",13/10/2009,,,,TRUE,,3
Wednesday after Pentecost 19,14/10/2009,,,,TRUE,,3
"Teresa of Avila, Teacher of the Faith, 1582 [6] White",15/10/2009,,,,TRUE,,3
Friday after Pentecost 19,16/10/2009,,,,TRUE,,3
"Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red",17/10/2009,,,,TRUE,,3
Pentecost 20 [3] Green; SPB Trinity 19,18/10/2009,,,,TRUE,,3
"Luke, Evangelist [4] Red (translated from 18 October)",19/10/2009,,,,TRUE,,3
"Henry Martyn, Priest and Missionary, 1812 [6] White (translated from 19 October)",20/10/2009,,,,TRUE,,3
Wednesday after Pentecost 20,21/10/2009,,,,TRUE,,3
Thursday after Pentecost 20,22/10/2009,,,,TRUE,,3
"James of Jerusalem, Martyr, c.62 [6] Red",23/10/2009,,,,TRUE,,3
Saturday after Pentecost 20,24/10/2009,,,,TRUE,,3
Pentecost 21 [3] Green; SPB Trinity 20 (Fifth Sunday before Advent),25/10/2009,,,,TRUE,,3
Monday after Pentecost 21,26/10/2009,,,,TRUE,,3
Tuesday after Pentecost 21,27/10/2009,,,,TRUE,,3
"Simon and Jude, Apostles [4] Red",28/10/2009,,,,TRUE,,3
"James Hannington, Bishop and Companions, Martyrs, 1885 [6] Red",29/10/2009,,,,TRUE,,3
Friday after Pentecost 21,30/10/2009,,,,TRUE,,3
Saturday after Pentecost 21,31/10/2009,,,,TRUE,,3
ALL SAINTS [2] White (Fourth Sunday before Advent),01/11/2009,,,,TRUE,,3
