Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Patrick, Bishop, Patron of Ireland, 461 [4] White (translated from 18 March)",18/03/2013,,,,TRUE,FALSE,"Week of Lent 5
Patrick, Bishop, Patron of Ireland, 461 [4] White (translated from 18 March)

EUCHARIST
Ezekiel 34:11-16
Psalm 96
1 Thessalonians 2:2-12 or 1 Corinthians 1:18-25
Matthew 28:16-20 or Luke 22:24-30

MORNING PRAYER: Festivals
Isaiah 8:19 - 9:2
Acts 16:6-10

EVENING PRAYER: Festivals
Isaiah 42:1-17
Luke 10:1-20",Normal,Normal,3
Joseph of Nazareth [4] White,19/03/2013,,,,TRUE,FALSE,"Week of Lent 5
Joseph of Nazareth [4] White

EUCHARIST
2 Samuel 7:4-16
Psalm 89:1-4, 26-29, (30-36)
Romans 4:13-18
Luke 2:41-52 or Matthew 1:18-25

MORNING PRAYER: Festivals
Isaiah 63:7-16
Matthew 1:18-25

EVENING PRAYER: Festivals
2 Chronicles 6:12-17
Ephesians 3:14-21",Normal,Normal,3
"Cuthbert, Bishop, 687 [6] White",20/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Cranmer, Bishop, 1556 [6] Red",21/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Ken, Bishop, 1711 [6] White",22/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White (translated from 18 January)",23/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
The Sunday of the Passion (Palm Sunday) [1] Red or Violet,24/03/2013,,,,TRUE,FALSE,"Holy Week (Week of Lent 6)
THE SUNDAY OF THE PASSION (PALM SUNDAY) [1] Red or Violet

EUCHARIST
Liturgy of the Palms
Luke 19:28-40
Psalm 118:1-2, 19-29

Liturgy of the Passion
Isaiah 50:4-9a
Psalm 31:9-16
Philippians 2:5-11
Luke 22:14 - 23:56 or Luke 23:1-49

MORNING PRAYER: The Suffering Christ 
Zechariah 9:9-12
1 Timothy 6:12-16

Evening before THE ANNUNCIATION OF THE LORD [2] White
EVENING PRAYER: Festivals
Genesis 3:1-15
Romans 5:12-21 or Galatians 4:1-7",Normal,Normal,3
Monday of Holy Week [1] Red or Violet,25/03/2013,,,,TRUE,FALSE,"Holy Week (Week of Lent 6)
Monday of Holy Week [1] Red or Violet
(The Annunciation of the Lord is transferred to 8 April.)

DAILY EUCHARIST
Isaiah 42:1-9
Psalm 36:5-11
Hebrews 9:11-15
John 12:1-11

DAILY PRAYER: The Suffering Christ 
Jeremiah 12:1-16
Philippians 3:1-14
John 12:9-19",Normal,Normal,3
Tuesday of Holy Week [1] Red or Violet,26/03/2013,,,,TRUE,FALSE,"Holy Week (Week of Lent 6)
Tuesday of Holy Week [1] Red or Violet

DAILY EUCHARIST
Isaiah 49:1-7
Psalm 71:1-14
1 Corinthians 1:18-31
John 12:20-36

DAILY PRAYER: The Suffering Christ 
Jeremiah 15:10-21
Philippians 3:15-21
John 12:20-26",Normal,Normal,3
Wednesday of Holy Week [1] Red or Violet,27/03/2013,,,,TRUE,FALSE,"Holy Week (Week of Lent 6)
Wednesday of Holy Week [1] Red or Violet

DAILY EUCHARIST
Isaiah 50:4-9a
Psalm 70
Hebrews 12:1-3
John 13:21-32

DAILY PRAYER: The Suffering Christ 
Jeremiah 17:5-10, 14-17
Philippians 4:1-13
John 12:27-36",Normal,Normal,3
Maundy Thursday [1] White at the Eucharist,28/03/2013,,,,TRUE,FALSE,"Holy Week (Week of Lent 6)
MAUNDY THURSDAY [1] White at the Eucharist

EUCHARIST
Exodus 12:1-4, (5-10), 11-14
Psalm 116:1-2, 12-19
1 Corinthians 11:23-26
John 13:1-17, 31b-35

DAILY PRAYER: The Suffering Christ 
Jeremiah 20:7-11
1 Corinthians 10:14-17; 11:27-32
John 17:1-11, (12-26)",Normal,Normal,3
Good Friday [1] Red for the Liturgy; Hangings removed,29/03/2013,,,,TRUE,FALSE,"Holy Week (Week of Lent 6)
GOOD FRIDAY [1] Red for the Liturgy; Hangings removed

HOLY COMMUNION
Isaiah 52:13 - 53:12
Psalm 22
Hebrews 10:16-25 or Hebrews 4:14-16; 5:7-9
John 18:1 - 19:42

DAILY PRAYER: The Suffering Christ 
Wisdom of Solomon 1:16 - 2:1, 12-22 or Genesis 22:1-14
1 Peter 1:10-20
Morning: John 13:36-38
Evening: John 19:38-42
",Normal,Normal,3
