date,feast,colour
08/08/2013,"Dominic, Priest and Friar, 1221 [6] White",white
09/08/2013,"John Mason Neale, Priest, 1886 [6] White",white
10/08/2013,"Lawrence, Deacon and Martyr, 258 [6] Red",red
11/08/2013,Pentecost 12 [3] Green; SPB Trinity 11,green
12/08/2013,"Blane, Missionary, c.590 [6] White",white
13/08/2013,"Jeremy Taylor, Bishop, 1667 [6] White",white
14/08/2013,"Maximilien Kolbe, Priest and Martyr, 1941 [6] Red",red
15/08/2013,Mary the Virgin [4] White,white
16/08/2013,"Clare of Assisi, Religious, 1253 [6] White (translated from 11 August)",white
17/08/2013,Saturday after Pentecost 12,green
18/08/2013,Pentecost 13 [3] Green; SPB Trinity 12,green
19/08/2013,Monday after Pentecost 13,green
20/08/2013,"Bernard of Clairvaux, Aboot & Teacher of the Faith, 1153 [6] White",white
21/08/2013,Wednesday after Pentecost 13,green
22/08/2013,Thursday after Pentecost 13,green
23/08/2013,Friday after Pentecost 13,green
24/08/2013,"Bartholomew, Apostle [4] Red",red
25/08/2013,Pentecost 14 [3] Green; SPB Trinity 13,green
26/08/2013,"Ebba of Coldingham, Abbess, 683 [6] White (translated from 25 August)",white
27/08/2013,"Monnica, Mother of Augustine of Hippo, 387 [6] White",white
28/08/2013,"Augustine of Hippo, Bishop & Teacher of the Faith, 430 [6] White",white
29/08/2013,The Beheading of John the Baptist [4] Red,red
30/08/2013,Friday after Pentecost 14,green
31/08/2013,"Aidan of Lindisfarne, Bishop, 651 [6] White",white
01/09/2013,Pentecost 15 [3] Green; SPB Trinity 14,green
02/09/2013,"The Martyrs of New Guinea, 1942 [6] Red",red
03/09/2013,"Gregory the Great, Bishop and Teacher of the Faith [6] White",white
04/09/2013,Wednesday after Pentecost 15,green
05/09/2013,Thursday after Pentecost 15,green
06/09/2013,Friday after Pentecost 15,green
07/09/2013,Saturday after Pentecost 15,green
08/09/2013,Pentecost 16 [3] Green; SPB Trinity 15,green
09/09/2013,"The Birth of Mary, Mother of the Lord [5] White (translated from 8 September)",white
10/09/2013,Tuesday after Pentecost 16,green
11/09/2013,Wednesday after Pentecost 16,green
12/09/2013,Thursday after Pentecost 16,green
13/09/2013,"Cyprian of Carthage, Bishop and Martyr, 258 [6] Red",red
14/09/2013,Holy Cross Day [5] White or Red,white
15/09/2013,Pentecost 17 [3] Green; SPB Trinity 16,green
16/09/2013,"Ninian of Whithorn, Bishop, c.430 [4] White",white
17/09/2013,"Hildegard of Bingen, Abbess, 1179 [6] White",white
18/09/2013,Wednesday after Pentecost 17,green
19/09/2013,Thursday after Pentecost 17,green
20/09/2013,"John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red",red
21/09/2013,"Matthew, Apostle and Evangelist [4] Red",red
22/09/2013,Pentecost 18 [3] Green; SPB Trinity 17,green
23/09/2013,"Adamnan of Iona, Abbot, 704 [6] White",white
24/09/2013,Tuesday after Pentecost 18,green
25/09/2013,"Finnbar of Caithness, Bishop, c.610 [6] White",white
26/09/2013,Thursday after Pentecost 18,green
27/09/2013,"Vincent de Paul, Priest, 1660 [6] White",white
28/09/2013,Saturday after Pentecost 18,green
29/09/2013,Pentecost 19 [3] Green; SPB Trinity 18,green
30/09/2013,Michael and All Angels [4] White,white
01/10/2013,"Gregory the Enlightener, Bishop, c.332 [6] White",white
02/10/2013,"Jerome, Priest and Teacher of the Faith, 420 [6] White (translated from 30 September)",white
03/10/2013,Thursday after Pentecost 19,green
04/10/2013,"Francis of Assisi, Deacon and Friar, 1226 [6] White",white
05/10/2013,Saturday after Pentecost 19,green
06/10/2013,Pentecost 20 [3] Green; SPB Trinity 19,green
07/10/2013,Monday after Pentecost 20,green
08/10/2013,"Alexander Penrose Forbes, Bishop, 1875 [6] White",white
09/10/2013,Wednesday after Pentecost 20,green
10/10/2013,Thursday after Pentecost 20,green
11/10/2013,"Kenneth, Abbot, 600 [6] White",white
12/10/2013,"Elizabeth Fry, 1845 [6] White",white
13/10/2013,Pentecost 21 [3] Green; SPB Trinity 20,green
14/10/2013,Monday after Pentecost 21,green
15/10/2013,"Teresa of Avila, Teacher of the Faith, 1582 [6] White",white
16/10/2013,Wednesday after Pentecost 21,green
17/10/2013,"Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red",red
18/10/2013,"Luke, Evangelist [4] Red",red
19/10/2013,"Henry Martyn, Priest and Missionary, 1812 [6] White",white
20/10/2013,Pentecost 22 [3] Green; SPB Trinity 21,green
21/10/2013,Monday after Pentecost 22,green
22/10/2013,Tuesday after Pentecost 22,green
23/10/2013,"James of Jerusalem, Martyr, c.62 [6] Red",red
24/10/2013,Thursday after Pentecost 22,green
25/10/2013,Friday after Pentecost 22,green
26/10/2013,Saturday after Pentecost 22,green
27/10/2013,Pentecost 23 [3] Green; SPB Trinity 22,green
28/10/2013,"Simon and Jude, Apostles [4] Red",red
29/10/2013,"James Hannington, Bishop and Companions, Martyrs, 1885 [6] Red",red
30/10/2013,Wednesday after Pentecost 23,green
31/10/2013,Thursday after Pentecost 23,green
01/11/2013,ALL SAINTS [2] White,white
02/11/2013,All Souls [5] Violet or White,violet
