Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"s Basil the Great, 379 and Gregory Nazianzen, 389, Bishops and doctors ; Seraphim of Sarov, Religious, 1833,  Vedanayagam Samuel Azariah, Bishop of South India, 1945",02/01/2004,,,,TRUE,"Lectionary Details for 02/01/2004
Year: C/2 Colour: White   - Divine Office Week: 1
Readings for Mass From the Common of pastors or From the Common of doctors of the Church or From the Proper of the Season (Friday of the First week of Christmas) First Reading: First John 2:22-28 Responsorial Psalm: Psalms 98:1, 2-3, 3-4 Gospel: John 1:19-28

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Saturday of the First week of Christmas; Most Holy Name of Jesus,03/01/2004,,,,TRUE,"Lectionary Details for 03/01/2004
Year: C/2 Colour: White   - Divine Office Week: 1
Readings for Mass First Reading: First John 2:29--3:6 Responsorial Psalm: Psalms 98:1, 3-4, 5-6 Gospel: John 1:29-34

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Second Sunday of Christmas,04/01/2004,,,,TRUE,"Lectionary Details for 04/01/2004
Year: C/2 Colour: White Gloria Creed - Divine Office Week: 2
Readings for Mass First Reading: Sirach 24:1-4, 8-12 Responsorial Psalm: Psalms 147:12-13, 14-15, 19-20 Second Reading: Ephesians 1:3-6, 15-18 Gospel: John 1:1-18 or 1:1-5, 9-14 

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Monday of the Second week of Christmas,05/01/2004,,,,TRUE,"Lectionary Details for 05/01/2004
Year: C/2 Colour: White   - Divine Office Week: 2
Readings for Mass First Reading: First John 3:11-21 Responsorial Psalm: Psalms 100:1-2, 3, 4, 5 Gospel: John 1:43-51 

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Epiphany of the Lord,06/01/2004,,,,TRUE,"Lectionary Details for 06/01/2004
Year: C/2 Colour: White Gloria Creed - Divine Office Week: 2
Readings for Mass First Reading: Isaiah 60:1-6 Responsorial Psalm: Psalms 72:1-2, 7-8, 10-11, 12-13 Second Reading: Ephesians 3:2-3, 5-6 Gospel: Matthew 2:1-12 

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Raymond of Penyaforth, Priest ",07/01/2004,,,,TRUE,"Lectionary Details for 07/01/2004
Year: C/2 Colour: White   - Divine Office Week: 2
Readings for Mass First Reading: First John 3:22--4:6 Responsorial Psalm: Psalms 2:7-8, 10-11 Gospel: Matthew 4:12-17, 23-25 Saint Raymond of Penyafort, priest - Optional Memorial Readings for Mass From the Common of pastors Especially Second Reading: Second Corinthians 5:14-20 or From the Proper of the Season 

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Lucian, Priest and Martyr, 290",08/01/2004,,,,TRUE,"Lectionary Details for 08/01/2004
Year: C/2 Colour: Red   - Divine Office Week: 2
Readings for Mass First Reading: First John 4:7-10 Responsorial Psalm: Psalms 72:1-2, 3-4, 7-8 Gospel: Mark 6:34-44 

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Friday after Epiphany,09/01/2004,,,,TRUE,"Lectionary Details for 09/01/2004
Year: C/2 Colour: White   - Divine Office Week: 2
Readings for Mass First Reading: First John 4:11-18 Responsorial Psalm: Psalms 72:1-2, 10, 12-13 Gospel: Mark 6:45-52 

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"William Laud, Archbishop of Canterbury, 1645",10/01/2004,,,,TRUE,"Lectionary Details for 10/01/2004
Year: C/2 Colour: Red   - Divine Office Week: 2
Readings for Mass First Reading: First John 4:19--5:4 Responsorial Psalm: Psalms 72:1-2, 14-15, 17 Gospel: Luke 4:14-22 

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Baptism of the Lord ,11/01/2004,,,,TRUE,"Lectionary Details for 11/01/2004
Year: C/2 Colour: White Gloria Creed - Divine Office Week: 1
Readings for Mass First Reading: Isaiah 42:1-4, 6-7 Responsorial Psalm: Psalms 29:1-2, 3-4, 3, 9-10 Second Reading: Acts 10:34-38 Gospel: Luke 3:15-16, 21-22

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Aelred of Hexham, Abbot of Rievaulx, 1167",12/01/2004,,,,TRUE,"Lectionary Details for 12/01/2004
Year: C/2 Colour: White   - Divine Office Week: 1
Readings for Mass First Reading: First Samuel 1:1-8 Responsorial Psalm: Psalms 116:12-13, 14-17, 18-19 Gospel: Mark 1:14-20

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Hiliary, Bishop of Poitiers, Teacher 367, Kentigern (Mungo) Bishop 603; George Fox, founder of the Society of Friends, 1691",13/01/2004,,,,TRUE,"Lectionary Details for 13/01/2004
Year: C/2 Colour: White   - Divine Office Week: 1
Readings for Mass First Reading: First Samuel 1:9-20 Responsorial Psalm: First Samuel 2:1, 4-5, 6-7, 8 Gospel: Mark 1:21-28 Saint Hilary, bishop and doctor - Optional Memorial Readings for Mass From the Common of pastors or From the Common of doctors of the Church or From the Proper of the Season or From this reading Second Reading: First John 2:18-25

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Wednesday of the First week in Ordinary Time,14/01/2004,,,,TRUE,"Lectionary Details for 14/01/2004
Year: C/2 Colour: Green   - Divine Office Week: 1
Readings for Mass First Reading: First Samuel 3:1-10, 19-20 Responsorial Psalm: Psalms 40:2-5, 7-8, 8-9, 10 Gospel: Mark 1:29-39

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Thursday of the First week in Ordinary Time,15/01/2004,,,,TRUE,"Lectionary Details for 15/01/2004
Year: C/2 Colour: Green   - Divine Office Week: 1
Readings for Mass First Reading: First Samuel 4:1-11 Responsorial Psalm: Psalms 44:10-11, 14-15, 25-26 Gospel: Mark 1:40-45

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
