Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White",14/01/2011,,,,TRUE,FALSE,"Friday after Epiphany 1 | Week of Proper 1
Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White

DAILY EUCHARIST 
Hebrews 4:1-5, 11
Psalm 78:3-8
Mark 2:1-12

DAILY PRAYER: Week A 
Isaiah 42:(1-9), 10-17
Ephesians 3:1-13
Mark 2:13-22",Normal,Normal,3
Saturday after Epiphany 1,15/01/2011,,,,TRUE,FALSE,"Saturday after Epiphany 1 [Green] | Week of Proper 1

DAILY EUCHARIST 
Hebrews 4:12-16
Psalm 19:7-14
Mark 2:13-17

DAILY PRAYER: Week A 
Isaiah 43:1-13
Ephesians 3:14-21
Mark 2:23 - 3:6",Normal,Normal,3
Second Sunday after Epiphany [3] Green,16/01/2011,,,,TRUE,FALSE,"Second Sunday after Epiphany [3] Green | Week of Proper 2

EUCHARIST
Isaiah 49:1-7
Psalm 40:1-11
1 Corinthians 1:1-9
John 1:29-42

DAILY PRAYER: Week B 
Ezekiel 2:1-7
Hebrews 6:17 - 7:10
Matthew 8:5-13

ALTERNATIVE PSALMS
Morning: Psalm 96
Evening: Psalm 145:1-12",Normal,Normal,3
"Antony of Egypt, Abbot, 356 [6] White",17/01/2011,,,,TRUE,FALSE,"Monday after Epiphany 2 | Week of Proper 2
Antony of Egypt, Abbot, 356 [6] White

DAILY EUCHARIST 
Hebrews 5:1-10
Psalm 110
Mark 2:18-22

DAILY PRAYER: Week B 
Isaiah 43:14 - 44:8
Ephesians 4:1-16
Mark 3:7-19a",Normal,Normal,3
The Confession of Peter [6] White,18/01/2011,,,,TRUE,FALSE,"Tuesday after Epiphany 2 | Week of Proper 2
The Confession of Peter [6] White

DAILY EUCHARIST 
Hebrews 6:10-20
Psalm 111
Mark 2:23-28

DAILY PRAYER: Week B 
Isaiah 44:9-23
Ephesians 4:17-32
Mark 3:19b-35",Normal,Normal,3
Wednesday after Epiphany 2 (Ember day),19/01/2011,,,,TRUE,FALSE,"Wednesday after Epiphany 2 [Green] | Week of Proper 2
Ember day

DAILY EUCHARIST 
Hebrews 7:1-3, 15-17
Psalm 110
Mark 3:1-6

DAILY PRAYER: Week B 
Isaiah 44:24 - 45:7
Ephesians 5:1-14
Mark 4:1-20

EMBER DAY READINGS
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10",Normal,Normal,3
Thursday after Epiphany 2,20/01/2011,,,,TRUE,FALSE,"Thursday after Epiphany 2 [Green] | Week of Proper 2

DAILY EUCHARIST 
Hebrews 7:23 - 8:7
Psalm 40:8-12, 17-19
Mark 3:7-12

DAILY PRAYER: Week B 
Isaiah 45:5-17
Ephesians 5:15-33
Mark 4:21-34",Normal,Normal,3
"Agnes, Martyr, c.304 [6] Red (Ember day)",21/01/2011,,,,TRUE,FALSE,"Friday after Epiphany 2 | Week of Proper 2
Agnes, Martyr, c.304 [6] Red
Ember day

DAILY EUCHARIST
Hebrews 8:6-13
Psalm 85:7-13
Mark 3:13-19

DAILY PRAYER: Week B 
Isaiah 45:18-25
Ephesians 6:1-9
Mark 4:35-41

EMBER DAY READINGS
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21",Normal,Normal,3
Saturday after Epiphany 2 (Ember day),22/01/2011,,,,TRUE,FALSE,"Saturday after Epiphany 2 [Green] | Week of Proper 2
Ember day

DAILY EUCHARIST
Hebrews 9:2-3, 11-14
Psalm 47
John 8:51-59

DAILY PRAYER: Week B 
Isaiah 46:1-13
Ephesians 6:10-24
Mark 5:1-20

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27",Normal,Normal,3
Third Sunday after Epiphany [3] Green,23/01/2011,,,,TRUE,FALSE,"Third Sunday after Epiphany [3] Green | Week of Proper 3

EUCHARIST
Isaiah 9:1-4
Psalm 27:1, 4-9
1 Corinthians 1:10-18
Matthew 4:12-23

DAILY PRAYER: Week C 
Ecclesiastes 3:1-11
Titus 2:1-8, 11-14
Matthew 4:12-23

ALTERNATIVE PSALMS
Morning: Psalm 33
Evening: Psalm 113",Normal,Normal,3
"Francis de Sales, Bishop, 1622 [6] White",24/01/2011,,,,TRUE,FALSE,"Monday after Epiphany 3 | Week of Proper 3
Francis de Sales, Bishop, 1622 [6] White

DAILY EUCHARIST
Hebrews 9:15, 24-28
Psalm 98
Mark 3:19b-30

DAILY PRAYER: Week C 
Isaiah 47:1-15
Galatians 1:1-17
Mark 5:21-43",Normal,Normal,3
"The Conversion of Paul, Apostle [4] White",25/01/2011,,,,TRUE,FALSE,"Tuesday after Epiphany 3 | Week of Proper 3
The Conversion of Paul, Apostle [4] White

DAILY EUCHARIST
Acts 26:9-23
Psalm 67
Galatians 1:11-24
Matthew 10:16-22 or Matthew 19:27-30

MORNING PRAYER: Festivals
Isaiah 45:18-25
Philippians 3:4b-11

EVENING PRAYER: Festivals
Sirach 39:1-10
Acts 9:1-22",Normal,Normal,3
"Timothy and Titus, Bishops [6] White",26/01/2011,,,,TRUE,FALSE,"Wednesday after Epiphany 3 | Week of Proper 3
Timothy and Titus, Bishops [6] White

DAILY EUCHARIST
Hebrews 10:11-18
Psalm 110:1-4
Mark 4:1-20

DAILY PRAYER: Week C 
Isaiah 49:1-12
Galatians 2:11-21
Mark 6:13-29",Normal,Normal,3
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White",27/01/2011,,,,TRUE,FALSE,"Thursday after Epiphany 3 | Week of Proper 3
John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White

DAILY EUCHARIST
Hebrews 10:19-25
Psalm 24:1-6
Mark 4:21-25

DAILY PRAYER: Week C 
Isaiah 49:13-23
Galatians 3:1-14
Mark 6:30-46",Normal,Normal,3
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",28/01/2011,,,,TRUE,FALSE,"Friday after Epiphany 3 | Week of Proper 3
Thomas Aquinas, Teacher of the Faith, 1274 [6] White

DAILY EUCHARIST
Hebrews 10:32-39
Psalm 37:1-7, 24-25, 41-42
Mark 4:26-34

DAILY PRAYER: Week C 
Isaiah 50:1-11
Galatians 3:15-22
Mark 6:47-56",Normal,Normal,3
Saturday after Epiphany 3,29/01/2011,,,,TRUE,FALSE,"Saturday after Epiphany 3 [Green] | Week of Proper 3

DAILY EUCHARIST
Hebrews 11:1-2, 8-19
Psalm 89:19-29
Mark 4:35-41

DAILY PRAYER: Week C 
Isaiah 51:1-18
Galatians 3:23-29
Mark 7:1-23
",Normal,Normal,3
Fourth Sunday after Epiphany [3] Green,30/01/2011,,,,TRUE,FALSE,"Fourth Sunday after Epiphany [3] Green | Week of Proper 4

EUCHARIST
Micah 6:1-8
Psalm 15
1 Corinthians 1:18-31
Matthew 5:1-12

DAILY PRAYER: Week D 
Genesis 28:10-22
Philemon 1-16
Mark 1:21-28

ALTERNATIVE PSALMS
Morning: Psalm 34
Evening: Psalm 71:1-6, 15-17",Normal,Normal,3
"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red",31/01/2011,,,,TRUE,FALSE,"Monday after Epiphany 4 | Week of Proper 4
Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red

DAILY EUCHARIST
Hebrews 11:32-40
Psalm 31:19-24
Mark 5:1-20

DAILY PRAYER: Week D 
Isaiah 51:9-23
Galatians 4:1-11
Mark 7:24-37",Normal,Normal,3
"Bride of Kildare, Abbess, c.525 [6] White",01/02/2011,,,,TRUE,FALSE,"Tuesday after Epiphany 4 | Week of Proper 4
Bride of Kildare, Abbess, c.525 [6] White

DAILY EUCHARIST
Hebrews 12:1-4
Psalm 22:22-30
Mark 5:21-43

MORNING PRAYER: Week D 
Isaiah 52:1-12
Galatians 4:12-20
Mark 8:1-10

EVENING PRAYER before THE PRESENTATION OF THE LORD (2 Feb): Festivals
1 Samuel 1:20-28a
Romans 8:14-21",Normal,Normal,3
